code,the,rur
26.99,"Biological and Biomedical Sciences, Other ",Life Sciences
27.01,Mathematics ,Physical Sciences
27.03,Applied Mathematics ,Physical Sciences
27.05,Statistics ,Physical Sciences
27.99,"Mathematics and Statistics, Other ",Physical Sciences
28.01,"Air Force ROTC, Air Science and Operations ",Social Sciences
28.03,"Army ROTC, Military Science and Operations ",Social Sciences
28.04,"Navy/Marine ROTC, Naval Science and Operations ",Social Sciences
28.05,Military Science and Operational Studies ,Social Sciences
28.06,Security Policy and Strategy ,Social Sciences
28.07,Military Economics and Management ,Social Sciences
28.99,"Military Science, Leadership and Operational Art, Other ",Social Sciences
29.01,Military Technologies ,Engineering & Technology
29.02,"Intelligence, Command Control and Information Operations ",Engineering & Technology
29.03,Military Applied Sciences ,Engineering & Technology
29.04,Military Systems and Maintenance Technology ,Engineering & Technology
29.99,"Military Technologies and Applied Sciences, Other ",Engineering & Technology
30.00,"Multi-/Interdisciplinary Studies, General ",Physical Sciences
30.01,Biological and Physical Sciences ,Life Sciences
30.05,Peace Studies and Conflict Resolution ,Social Sciences
30.06,Systems Science and Theory ,Engineering & Technology
30.08,Mathematics and Computer Science ,Engineering & Technology
30.10,Biopsychology ,Life Sciences
30.11,Gerontology ,"Clinical, Pre-clinical and Health"
30.12,Historic Preservation and Conservation ,Social Sciences
30.13,Medieval and Renaissance Studies ,Arts & Humanities
30.14,Museology/Museum Studies ,Arts & Humanities
30.15,"Science, Technology and Society ",Engineering & Technology
30.16,Accounting and Computer Science ,Social Sciences
30.17,Behavioral Sciences ,Social Sciences
30.18,Natural Sciences ,Physical Sciences
30.19,Nutrition Sciences ,Life Sciences
30.20,International/Global Studies ,Social Sciences
30.21,Holocaust and Related Studies ,Social Sciences
30.22,Classical and Ancient Studies ,Arts & Humanities
30.23,Intercultural/Multicultural and Diversity Studies ,Social Sciences
30.24,Neuroscience ,"Clinical, Pre-clinical and Health"
30.25,Cognitive Science ,Social Sciences
30.26,Cultural Studies/Critical Theory and Analysis ,Arts & Humanities
30.27,Human Biology ,Life Sciences
30.28,Dispute Resolution ,Social Sciences
30.29,Maritime Studies ,Social Sciences
30.30,Computational Science ,Engineering & Technology
30.31,Human Computer Interaction ,Engineering & Technology
30.32,Marine Sciences ,Life Sciences
30.33,Sustainability Studies ,Life Sciences
30.99,"Multi/Interdisciplinary Studies, Other ",Assign as needed to one of 6 subject categories; data may be split over multiple subjects.
31.01,"Parks, Recreation and Leisure Studies ",Social Sciences
31.03,"Parks, Recreation and Leisure Facilities Management ",Social Sciences
31.05,Health and Physical Education/Fitness ,Social Sciences
31.06,Outdoor Education ,Social Sciences
31.99,"Parks, Recreation, Leisure, and Fitness Studies, Other ",Social Sciences
32.01,Basic Skills and Developmental/Remedial Education ,Social Sciences
33.01,Citizenship Activities ,Social Sciences
34.01,Health-Related Knowledge and Skills ,"Clinical, Pre-clinical and Health"
35.01,Interpersonal and Social Skills ,Social Sciences
36.01,Leisure and Recreational Activities ,Social Sciences
37.01,Personal Awareness and Self-Improvement ,Social Sciences
38.00,"Philosophy and Religious Studies, General ",Arts & Humanities
38.01,Philosophy ,Arts & Humanities
38.02,Religion/Religious Studies ,Arts & Humanities
38.99,"Philosophy and Religious Studies, Other ",Arts & Humanities
39.02,Bible/Biblical Studies ,Arts & Humanities
39.03,Missions/Missionary Studies and Missiology ,Arts & Humanities
39.04,Religious Education ,Arts & Humanities
39.05,Religious/Sacred Music ,Arts & Humanities
39.06,Theological and Ministerial Studies ,Arts & Humanities
39.07,Pastoral Counseling and Specialized Ministries ,Arts & Humanities
39.99,"Theology and Religious Vocations, Other ",Arts & Humanities
40.01,Physical Sciences ,Physical Sciences
40.02,Astronomy and Astrophysics ,Physical Sciences
40.04,Atmospheric Sciences and Meteorology ,Physical Sciences
40.05,Chemistry ,Physical Sciences
40.06,Geological and Earth Sciences/Geosciences ,Physical Sciences
40.08,Physics ,Physical Sciences
40.10,Materials Sciences ,Physical Sciences
40.99,"Physical Sciences, Other ",Physical Sciences
41.00,"Science Technologies/Technicians, General ",Engineering & Technology
41.01,Biology Technician/Biotechnology Laboratory Technician ,Engineering & Technology
41.02,Nuclear and Industrial Radiologic Technologies/Technicians ,Engineering & Technology
41.03,Physical Science Technologies/Technicians ,Engineering & Technology
41.99,"Science Technologies/Technicians, Other ",Engineering & Technology
42.01,"Psychology, General ",Social Sciences
42.02,Clinical Psychology ,Social Sciences
42.03,Cognitive Psychology and Psycholinguistics ,Social Sciences
42.04,Community Psychology ,Social Sciences
42.05,Comparative Psychology ,Social Sciences
42.06,Counseling Psychology ,Social Sciences
42.07,Developmental and Child Psychology ,Social Sciences
42.08,Experimental Psychology ,Social Sciences
42.09,Industrial and Organizational Psychology ,Social Sciences
42.10,Personality Psychology ,Social Sciences
42.11,Physiological Psychology/Psychobiology ,Social Sciences
42.16,Social Psychology ,Social Sciences
42.17,School Psychology ,Social Sciences
42.18,Educational Psychology ,Social Sciences
42.19,Psychometrics and Quantitative Psychology ,Social Sciences
42.20,Clinical Child Psychology ,Social Sciences
42.21,Environmental Psychology ,Social Sciences
42.22,Geropsychology ,Social Sciences
42.23,Health Psychology ,Social Sciences
42.24,Psychopharmacology ,"Clinical, Pre-clinical and Health"
42.25,Family Psychology ,Social Sciences
42.26,Forensic Psychology ,Social Sciences
42.27,Research and Experimental Psychology ,Social Sciences
42.28,"Clinical, Counseling and Applied Psychology ",Social Sciences
42.99,"Psychology, Other ",Social Sciences
43.01,Criminal Justice and Corrections ,Social Sciences
43.02,Fire Protection ,Social Sciences
43.03,Homeland Security ,Social Sciences
43.99,"Homeland Security, Law Enforcement, Firefighting and Related Protective Services, Other ",Social Sciences
44.00,"Human Services, General ",Social Sciences
44.02,Community Organization and Advocacy ,Social Sciences
44.04,Public Administration ,Social Sciences
44.05,Public Policy Analysis ,Social Sciences
44.07,Social Work ,Social Sciences
44.99,"Public Administration and Social Service Professions, Other ",Social Sciences
45.01,"Social Sciences, General ",Social Sciences
45.02,Anthropology ,Social Sciences
45.03,Archeology ,Social Sciences
45.04,Criminology ,Social Sciences
45.05,Demography and Population Studies ,Social Sciences
45.06,Economics ,Social Sciences
45.07,Geography and Cartography ,Social Sciences
45.09,International Relations and National Security Studies ,Social Sciences
45.10,Political Science and Government ,Social Sciences
45.11,Sociology ,Social Sciences
45.12,Urban Studies/Affairs ,Social Sciences
45.13,Sociology and Anthropology ,Social Sciences
45.14,Rural Sociology ,Social Sciences
45.99,"Social Sciences, Other ",Social Sciences
46.00,"Construction Trades, General ",Engineering & Technology
46.01,Mason/Masonry ,Engineering & Technology
46.02,Carpenters ,Engineering & Technology
46.03,Electrical and Power Transmission Installers ,Engineering & Technology
46.04,"Building/Construction Finishing, Management, and Inspection ",Engineering & Technology
46.05,Plumbing and Related Water Supply Services ,Engineering & Technology
46.99,"Construction Trades, Other ",Engineering & Technology
47.00,"Mechanics and Repairers, General ",Engineering & Technology
47.01,Electrical/Electronics Maintenance and Repair Technology ,Engineering & Technology
47.02,"Heating, Air Conditioning, Ventilation and Refrigeration Maintenance Technology/Technician (HAC, HACR, HVAC, HVACR) ",Engineering & Technology
47.03,Heavy/Industrial Equipment Maintenance Technologies ,Engineering & Technology
47.04,Precision Systems Maintenance and Repair Technologies ,Engineering & Technology
47.06,Vehicle Maintenance and Repair Technologies ,Engineering & Technology
47.99,"Mechanic and Repair Technologies/Technicians, Other ",Engineering & Technology
48.00,"Precision Production Trades, General ",Engineering & Technology
48.03,Leatherworking and Upholstery ,Engineering & Technology
48.05,Precision Metal Working ,Engineering & Technology
48.07,Woodworking ,Engineering & Technology
48.08,Boilermaking/Boilermaker ,Engineering & Technology
48.99,"Precision Production, Other ",Engineering & Technology
49.01,Air Transportation ,Social Sciences
49.02,Ground Transportation ,Social Sciences
49.03,Marine Transportation ,Social Sciences
49.99,"Transportation and Materials Moving, Other ",Social Sciences
50.01,"Visual and Performing Arts, General ",Arts & Humanities
50.02,"Crafts/Craft Design, Folk Art and Artisanry ",Arts & Humanities
50.03,Dance ,Arts & Humanities
50.04,Design and Applied Arts ,Arts & Humanities
50.05,Drama/Theatre Arts and Stagecraft ,Arts & Humanities
50.06,Film/Video and Photographic Arts ,Arts & Humanities
50.07,Fine and Studio Arts ,Arts & Humanities
50.09,Music ,Arts & Humanities
50.10,"Arts, Entertainment,and Media Management ",Arts & Humanities
50.99,"Visual and Performing Arts, Other ",Arts & Humanities
51.00,"Health Services/Allied Health/Health Sciences, General ","Clinical, Pre-clinical and Health"
51.01,Chiropractic ,"Clinical, Pre-clinical and Health"
51.02,Communication Disorders Sciences and Services ,"Clinical, Pre-clinical and Health"
51.04,Dentistry ,"Clinical, Pre-clinical and Health"
51.05,Advanced/Graduate Dentistry and Oral Sciences ,"Clinical, Pre-clinical and Health"
51.06,Dental Support Services and Allied Professions ,"Clinical, Pre-clinical and Health"
51.07,Health and Medical Administrative Services ,"Clinical, Pre-clinical and Health"
51.08,Allied Health and Medical Assisting Services ,"Clinical, Pre-clinical and Health"
51.09,"Allied Health Diagnostic, Intervention, and Treatment Professions ","Clinical, Pre-clinical and Health"
51.10,Clinical/Medical Laboratory Science/Research and Allied Professions ,"Clinical, Pre-clinical and Health"
51.11,Health/Medical Preparatory Programs ,"Clinical, Pre-clinical and Health"
51.12,Medicine ,"Clinical, Pre-clinical and Health"
51.14,Medical Clinical Sciences/Graduate Medical Studies ,"Clinical, Pre-clinical and Health"
51.15,Mental and Social Health Services and Allied Professions ,"Clinical, Pre-clinical and Health"
51.16,Nursing ,"Clinical, Pre-clinical and Health"
51.17,Optometry ,"Clinical, Pre-clinical and Health"
51.18,Ophthalmic and Optometric Support Services and Allied Professions ,"Clinical, Pre-clinical and Health"
51.19,Osteopathic Medicine/Osteopathy ,"Clinical, Pre-clinical and Health"
51.20,"Pharmacy, Pharmaceutical Sciences, and Administration ","Clinical, Pre-clinical and Health"
51.21,Podiatric Medicine/Podiatry ,"Clinical, Pre-clinical and Health"
51.22,Public Health ,"Clinical, Pre-clinical and Health"
51.23,Rehabilitation and Therapeutic Professions ,"Clinical, Pre-clinical and Health"
51.24,Veterinary Medicine ,"Clinical, Pre-clinical and Health"
51.25,Veterinary Biomedical and Clinical Sciences ,"Clinical, Pre-clinical and Health"
51.26,Health Aides/Attendants/Orderlies ,"Clinical, Pre-clinical and Health"
51.27,Medical Illustration and Informatics ,"Clinical, Pre-clinical and Health"
51.31,Dietetics and Clinical Nutrition Services ,"Clinical, Pre-clinical and Health"
51.32,Bioethics/Medical Ethics ,"Clinical, Pre-clinical and Health"
51.33,Alternative and Complementary Medicine and Medical Systems ,"Clinical, Pre-clinical and Health"
51.34,Alternative and Complementary Medical Support Services ,"Clinical, Pre-clinical and Health"
51.35,Somatic Bodywork and Related Therapeutic Services ,"Clinical, Pre-clinical and Health"
51.36,Movement and Mind-Body Therapies and Education ,"Clinical, Pre-clinical and Health"
51.37,Energy and Biologically Based Therapies ,"Clinical, Pre-clinical and Health"
51.38,"Registered Nursing, Nursing Administration, Nursing Research and Clinical Nursing ","Clinical, Pre-clinical and Health"
51.39,"Practical Nursing, Vocational Nursing and Nursing Assistants ","Clinical, Pre-clinical and Health"
51.99,"Health Professions and Related Clinical Sciences, Other ","Clinical, Pre-clinical and Health"
52.01,"Business/Commerce, General ",Social Sciences
52.02,"Business Administration, Management and Operations ",Social Sciences
52.03,Accounting and Related Services ,Social Sciences
52.04,Business Operations Support and Assistant Services ,Social Sciences
52.05,Business/Corporate Communications ,Social Sciences
52.06,Business/Managerial Economics ,Social Sciences
52.07,Entrepreneurial and Small Business Operations ,Social Sciences
52.08,Finance and Financial Management Services ,Social Sciences
52.09,Hospitality Administration/Management ,Social Sciences
52.10,Human Resources Management and Services ,Social Sciences
52.11,International Business ,Social Sciences
52.12,Management Information Systems and Services ,Social Sciences
52.13,Management Sciences and Quantitative Methods ,Social Sciences
52.14,Marketing ,Social Sciences
52.15,Real Estate ,Social Sciences
52.16,Taxation ,Social Sciences
52.17,Insurance ,Social Sciences
52.18,"General Sales, Merchandising and Related Marketing Operations ",Social Sciences
52.19,"Specialized Sales, Merchandising and  Marketing Operations ",Social Sciences
52.20,Construction Management ,Social Sciences
52.21,Telecommunications Management ,Social Sciences
52.99,"Business, Management, Marketing, and Related Support Services, Other ",Social Sciences
53.01,High School/Secondary Diploma Programs ,Social Sciences
53.02,High School/Secondary Certificate Programs ,Social Sciences
54.01,History ,Arts & Humanities
60.01,Dental Residency Programs ,"Clinical, Pre-clinical and Health"
60.02,Medical Residency Programs ,"Clinical, Pre-clinical and Health"
60.03,Veterinary Residency Programs ,"Clinical, Pre-clinical and Health"
60.04,Medical Residency Programs - General Certificates ,"Clinical, Pre-clinical and Health"
60.05,Medical Residency Programs - Subspecialty Certificates ,"Clinical, Pre-clinical and Health"
60.06,Podiatric Medicine Residency Programs ,"Clinical, Pre-clinical and Health"
